mavpackettype,TimeUS,Volt,VoltR,Curr,CurrTot,Temp,Res
BAT,66322186,15.343000411987305,99.0,9.280000686645508,50.0,32.6,0.0
BAT,66422669,15.343000411987305,99.0,9.280000686645508,50.0,32.6,0.0
BAT,66523769,15.343000411987305,99.0,9.335000038146973,50.0,32.6,0.0
BAT,66623863,15.269001007080078,99.0,9.335000038146973,52.0,32.6,0.0
BAT,66723854,15.269001007080078,99.0,9.335000038146973,52.0,32.6,0.0
BAT,66823805,15.147000312805176,99.0,9.944000244140625,52.0,32.6,0.0
BAT,66924058,15.147000312805176,99.0,9.944000244140625,52.0,32.6,0.0
BAT,67024467,15.147000312805176,99.0,10.612000465393066,52.0,32.6,0.0
BAT,67124461,15.13900089263916,99.0,10.612000465393066,52.0,32.6,0.0
BAT,67225606,15.13900089263916,99.0,10.612000465393066,52.0,32.6,0.0
BAT,67325806,15.136000633239746,99.0,10.932000160217285,52.0,32.6,0.0
BAT,67425847,15.136000633239746,99.0,10.932000160217285,52.0,32.6,0.0
BAT,67526757,15.136000633239746,99.0,10.932000160217285,52.0,32.6,0.0
BAT,67627219,15.166000366210938,99.0,11.028000831604004,55.0,32.6,0.0
BAT,67727707,15.166000366210938,99.0,11.028000831604004,55.0,32.6,0.0
BAT,67828194,15.16300106048584,99.0,11.01300048828125,55.0,32.6,0.0
BAT,67928607,15.16300106048584,99.0,11.01300048828125,55.0,32.6,0.0
BAT,68028828,15.16300106048584,99.0,11.01300048828125,55.0,32.6,0.0
BAT,68129660,15.129000663757324,99.0,11.082000732421875,55.0,32.6,0.0
